# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 15 18:43:26 2026
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%false%')
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,61.256362800,1.5600000e-04,-1.5600000e-04,173.8382600,2.090000e-03,-2.090000e-03,1.2480,6.9120,-0.0670,7.63300,0.10500,-0.10500,5.1233e+03,7.060e+01,-7.060e+01,39.87,1.279e+01,-5.480e+00,505.0,,,15.43,14.85,-5.51,85.30,1,q1_q17_dr25_tce,6144.00,184.00,-220.00,4.402,0.072,-0.217,1.0910,0.3500,-0.1500,283.725920,49.479519,15.250
11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,2.701287801,5.6340000e-06,-5.6340000e-06,170.6957900,1.640000e-03,-1.640000e-03,1.0160,3.9670,-0.0590,3.38270,0.08920,-0.08920,8.6040e+02,2.090e+01,-2.090e+01,6.54,1.640e+00,-7.500e-01,1222.0,,,527.81,411.33,-166.35,48.30,1,q1_q17_dr25_tce,5550.00,182.00,-182.00,4.468,0.091,-0.169,0.9100,0.2280,-0.1050,297.923650,48.777321,15.540
11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,19.651209505,5.8620000e-06,-5.8620000e-06,179.4019810,2.490000e-04,-2.490000e-04,0.7230,0.0100,-0.0200,5.25140,0.01790,-0.01790,1.1766e+04,2.770e+01,-2.770e+01,12.42,3.920e+00,-1.690e+00,730.0,,,67.03,62.46,-23.51,513.40,1,q1_q17_dr25_tce,6074.00,168.00,-210.00,4.391,0.090,-0.210,1.0630,0.3360,-0.1440,291.093900,48.933842,15.536
11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,33.933734470,6.1540000e-05,-6.1540000e-05,186.6760800,1.370000e-03,-1.370000e-03,0.8120,0.0060,-0.0090,14.56100,0.10400,-0.10400,8.5037e+03,4.430e+01,-4.430e+01,7.34,9.000e-01,-6.000e-01,430.0,,,8.11,3.25,-2.06,236.10,1,q1_q17_dr25_tce,5040.00,136.00,-151.00,4.628,0.030,-0.070,0.7050,0.0860,-0.0580,284.172330,49.360722,15.716
11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.0140,0,1,0,0,7.442652004,7.0200000e-07,-7.0200000e-07,169.9717797,7.320000e-05,-7.320000e-05,0.1370,0.3460,-0.2240,2.30780,0.01290,-0.01290,2.4446e+04,3.780e+01,-3.780e+01,15.03,4.730e+00,-1.580e+00,967.0,,,206.78,195.52,-61.76,835.60,1,q1_q17_dr25_tce,6108.00,183.00,-201.00,4.469,0.070,-0.210,0.9560,0.3010,-0.1000,288.986820,49.733742,15.270
11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,10.405998015,2.5150000e-06,-2.5150000e-06,177.1974660,1.900000e-04,-1.900000e-04,0.3240,0.0610,-0.0750,6.50360,0.01450,-0.01450,1.4489e+04,2.240e+01,-2.240e+01,11.23,2.920e+00,-1.950e+00,833.0,,,113.94,90.01,-45.01,745.20,1,q1_q17_dr25_tce,5746.00,173.00,-173.00,4.393,0.180,-0.198,0.9240,0.2410,-0.1600,289.235530,50.241001,15.562
3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,3.341913228,9.9530000e-06,-9.9530000e-06,171.6394300,2.470000e-03,-2.470000e-03,1.2130,11.2800,-0.1410,3.81300,0.12000,-0.12000,7.2530e+02,2.130e+01,-2.130e+01,21.55,3.540e+00,-1.890e+00,1032.0,,,268.67,145.91,-70.67,39.00,1,q1_q17_dr25_tce,5295.00,175.00,-159.00,4.551,0.049,-0.105,0.8110,0.1330,-0.0710,292.315950,38.270290,15.629
3246984,K00799.01,,FALSE POSITIVE,FALSE POSITIVE,0.7730,0,0,1,0,1.626630225,1.0150000e-06,-1.0150000e-06,169.8201710,4.870000e-04,-4.870000e-04,1.2600,4.8270,-0.0430,2.11450,0.02850,-0.02850,1.6206e+03,1.900e+01,-1.900e+01,32.43,9.000e+00,-4.830e+00,1547.0,,,1355.88,1105.99,-486.60,103.60,1,q1_q17_dr25_tce,5735.00,155.00,-172.00,4.410,0.124,-0.186,0.9730,0.2700,-0.1450,294.368190,38.310280,15.279
12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,14.179818700,1.6430000e-04,-1.6430000e-04,171.5023700,7.600000e-03,-7.600000e-03,0.1601,0.2975,-0.1600,2.50500,0.31500,-0.31500,4.5990e+02,5.190e+01,-5.190e+01,1.88,7.100e-01,-1.400e-01,711.0,,,60.35,67.75,-14.34,11.20,,,5799.00,161.00,-168.00,4.539,0.027,-0.275,0.8780,0.3330,-0.0650,291.044800,51.321671,15.727
2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,1.433769925,7.4100000e-07,-7.4100000e-07,170.4035360,3.970000e-04,-3.970000e-04,1.2680,5.6520,-0.1230,1.88680,0.02320,-0.02320,1.9763e+03,2.040e+01,-2.040e+01,46.58,8.010e+00,-8.000e+00,1920.0,,,3209.29,1411.94,-1136.62,112.60,1,q1_q17_dr25_tce,6017.00,72.00,-90.00,4.220,0.156,-0.117,1.3390,0.2300,-0.2300,290.843690,37.728828,15.122
2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,10.318723010,2.8460000e-05,-2.8460000e-05,173.3154300,2.240000e-03,-2.240000e-03,1.2150,59.5200,-0.4630,3.83600,0.12100,-0.12100,8.7170e+02,2.640e+01,-2.640e+01,28.59,8.610e+00,-3.690e+00,876.0,,,139.26,125.69,-46.77,38.20,1,q1_q17_dr25_tce,5927.00,176.00,-193.00,4.409,0.084,-0.196,1.0600,0.3190,-0.1370,291.848910,37.713501,15.065
3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,0.444291966,9.7000000e-08,-9.7000000e-08,169.8654060,1.690000e-04,-1.690000e-04,1.2580,0.3340,-0.1410,2.07920,0.01150,-0.01150,1.0967e+04,4.590e+01,-4.590e+01,27.51,3.460e+00,-1.730e+00,1836.0,,,2706.26,1149.42,-599.58,299.70,1,q1_q17_dr25_tce,5255.00,156.00,-156.00,4.678,0.028,-0.083,0.6360,0.0800,-0.0400,290.996890,38.284920,15.748
3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,0,7.544039000,1.0230000e-04,-1.0230000e-04,171.7982000,1.050000e-02,-1.050000e-02,1.1750,33.6300,-0.9110,6.22200,0.73100,-0.73100,3.2260e+02,2.820e+01,-2.820e+01,17.47,4.120e+00,-1.650e+00,838.0,,,116.46,81.18,-31.91,14.20,2,q1_q17_dr25_tce,5657.00,152.00,-169.00,4.567,0.038,-0.152,0.8240,0.1940,-0.0780,293.941160,38.601101,15.559
3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,0.0530,0,1,0,0,10.328035714,3.7620000e-06,-3.7620000e-06,174.5810540,3.060000e-04,-3.060000e-04,0.2810,0.0400,-0.0640,7.79150,0.02720,-0.02720,1.6918e+04,3.180e+01,-3.180e+01,13.28,3.640e+00,-2.410e+00,843.0,,,119.31,98.49,-48.58,636.80,1,q1_q17_dr25_tce,5627.00,169.00,-169.00,4.359,0.180,-0.180,1.0240,0.2800,-0.1860,287.696750,38.886452,15.646
3836375,K00807.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.540397253,2.7020000e-06,-2.7020000e-06,170.5047900,1.500000e-03,-1.500000e-03,1.2250,6.8130,-0.1010,2.15410,0.08460,-0.08460,8.1610e+02,2.570e+01,-2.570e+01,25.69,7.440e+00,-2.330e+00,1470.0,,,1105.68,965.56,-306.98,38.80,1,q1_q17_dr25_tce,5663.00,171.00,-188.00,4.530,0.036,-0.204,0.9150,0.2650,-0.0830,286.926390,38.921631,15.974
3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,2.990254430,1.1680000e-05,-1.1680000e-05,171.9834000,3.090000e-03,-3.090000e-03,0.0140,0.3340,-0.0140,5.41400,0.11300,-0.11300,5.8920e+02,1.410e+01,-1.410e+01,1.70,1.000e-01,-1.500e-01,918.0,,,168.45,43.55,-45.45,48.50,1,q1_q17_dr25_tce,4667.00,140.00,-154.00,4.578,0.048,-0.028,0.7310,0.0420,-0.0630,287.748810,38.929550,15.842
5287983,K00828.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,2.507089906,2.4010000e-06,-2.4010000e-06,171.0024550,8.350000e-04,-8.350000e-04,1.2550,16.5000,-0.3490,2.00670,0.04270,-0.04270,1.3392e+03,2.470e+01,-2.470e+01,30.26,9.570e+00,-3.190e+00,1326.0,,,730.47,699.82,-230.11,64.90,1,q1_q17_dr25_tce,5926.00,184.00,-226.00,4.506,0.054,-0.216,0.9390,0.2970,-0.0990,295.378050,40.493401,15.555
4932348,K00819.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,38.036729482,3.4840000e-06,-3.4840000e-06,196.9349470,7.160000e-05,-7.160000e-05,0.5010,0.0030,-0.0050,4.34617,0.00645,-0.00645,8.2872e+04,8.330e+01,-8.330e+01,27.50,5.280e+00,-2.270e+00,500.0,,,14.81,8.85,-3.91,1300.00,1,q1_q17_dr25_tce,5575.00,166.00,-183.00,4.521,0.038,-0.152,0.9320,0.1790,-0.0770,294.147890,40.055538,15.472
11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,3.747838198,3.8960000e-06,-3.8960000e-06,171.6650400,9.020000e-04,-9.020000e-04,1.1210,1.1040,-0.0350,5.06420,0.04450,-0.04450,6.1600e+02,5.300e+00,-5.300e+00,13.65,3.110e+00,-1.040e+00,1031.0,,,266.76,180.49,-62.76,138.20,1,q1_q17_dr25_tce,5514.00,149.00,-149.00,4.569,0.029,-0.162,0.8260,0.1880,-0.0630,291.061520,50.265129,13.496
5077629,K00822.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,7.919369370,2.0400000e-06,-2.0400000e-06,172.1810920,2.020000e-04,-2.020000e-04,0.7330,0.0100,-0.0110,3.31480,0.02090,-0.02090,1.5148e+04,4.980e+01,-4.980e+01,10.34,2.590e+00,-8.700e-01,814.0,,,104.00,77.20,-26.78,389.00,1,q1_q17_dr25_tce,5690.00,154.00,-172.00,4.588,0.040,-0.160,0.7760,0.1950,-0.0650,283.538450,40.217999,15.805
5283542,K00827.01,,FALSE POSITIVE,FALSE POSITIVE,0.0370,0,0,1,0,5.975817540,1.1180000e-05,-1.1180000e-05,174.7760200,1.370000e-03,-1.370000e-03,0.9410,0.0170,-0.6180,3.06500,0.18500,-0.18500,9.6240e+02,2.350e+01,-2.350e+01,3.86,1.320e+00,-4.400e-01,1047.0,,,284.25,295.54,-90.93,50.30,1,q1_q17_dr25_tce,6108.00,193.00,-214.00,4.471,0.054,-0.216,0.9970,0.3410,-0.1140,294.223970,40.417858,15.546
5649215,K00839.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,2.446737317,3.0890000e-06,-3.0890000e-06,170.6695100,1.040000e-03,-1.040000e-03,1.2410,1.2950,-0.1350,4.72110,0.05460,-0.05460,1.1779e+03,1.270e+01,-1.270e+01,26.25,6.900e+00,-2.470e+00,1261.0,,,597.19,461.45,-162.49,110.20,1,q1_q17_dr25_tce,5764.00,154.00,-171.00,4.548,0.035,-0.184,0.8630,0.2270,-0.0810,298.961120,40.862808,15.021
5370302,K00831.01,,FALSE POSITIVE,FALSE POSITIVE,0.0060,0,1,0,0,3.904342500,1.3390000e-06,-1.3390000e-06,173.3937340,2.660000e-04,-2.660000e-04,0.7090,0.0110,-0.0150,3.83100,0.02710,-0.02710,1.6228e+04,6.210e+01,-6.210e+01,12.28,3.560e+00,-1.190e+00,1104.0,,,351.05,298.42,-97.69,323.40,1,q1_q17_dr25_tce,5810.00,157.00,-175.00,4.526,0.050,-0.200,0.8980,0.2600,-0.0870,294.056760,40.549679,15.016
5372966,K00832.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,9.286358079,5.4600000e-07,-5.4600000e-07,171.8214689,4.500000e-05,-4.500000e-05,0.3770,0.0090,-0.0090,3.49949,0.00533,-0.00533,4.4791e+04,3.280e+01,-3.280e+01,17.61,4.050e+00,-1.870e+00,796.0,,,95.03,66.72,-27.73,1671.10,1,q1_q17_dr25_tce,5670.00,169.00,-169.00,4.523,0.066,-0.154,0.8210,0.1890,-0.0870,294.743960,40.533920,15.365
5376067,K00833.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,3.951405455,2.2580000e-06,-2.2580000e-06,173.2761250,4.540000e-04,-4.540000e-04,1.2760,6.0270,-0.2140,2.18620,0.02670,-0.02670,2.4539e+03,2.520e+01,-2.520e+01,31.44,8.940e+00,-2.960e+00,1133.0,,,388.71,333.12,-106.59,117.20,1,q1_q17_dr25_tce,6046.00,182.00,-182.00,4.539,0.048,-0.204,0.8690,0.2470,-0.0820,295.504390,40.505489,15.446
5481416,K00836.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,2.384052875,4.7400000e-06,-4.7400000e-06,171.5836200,1.630000e-03,-1.630000e-03,1.1780,5.6850,-0.1150,3.09180,0.08170,-0.08170,1.2681e+03,2.990e+01,-2.990e+01,17.06,1.320e+00,-1.600e+00,1010.0,,,244.87,71.26,-67.02,50.50,1,q1_q17_dr25_tce,4794.00,130.00,-144.00,4.580,0.063,-0.032,0.7010,0.0540,-0.0660,299.642850,40.691238,15.836
5534814,K00838.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,4.859386384,1.2720000e-06,-1.2720000e-06,173.0114690,2.070000e-04,-2.070000e-04,1.2590,1.0890,-0.1780,2.27570,0.01220,-0.01220,6.0443e+03,2.720e+01,-2.720e+01,38.33,1.280e+01,-4.270e+00,1114.0,,,364.23,358.71,-118.09,269.70,1,q1_q17_dr25_tce,6072.00,168.00,-232.00,4.470,0.056,-0.224,0.9880,0.3300,-0.1100,292.214360,40.759762,15.311
